depth	min	max	median	mean
588.5	11563	12235	11866	11874
589.5	11568	12250	11873	11881
590.5	11573	12266	11879	11889
591.5	11577	12282	11886	11896
592.5	11581	12299	11893	11904
593.5	11586	12316	11899	11911
594.5	11590	12333	11905	11919
595.5	11593	12351	11912	11926
596.5	11597	12370	11918	11934
597.5	11601	12389	11924	11941
598.5	11605	12408	11930	11949
599.5	11608	12427	11936	11957
600.5	11612	12447	11942	11964
601.5	11615	12467	11948	11972
602.5	11618	12487	11955	11979
603.5	11621	12508	11961	11987
604.5	11624	12529	11967	11994
605.5	11627	12550	11972	12002
606.5	11632	12565	11979	12009
607.5	11640	12575	11986	12017
608.5	11647	12586	11993	12024
609.5	11654	12596	12000	12032
610.5	11660	12608	12007	12039
611.5	11666	12619	12015	12047
612.5	11672	12631	12022	12054
613.5	11678	12643	12029	12062
614.5	11683	12656	12036	12069
615.5	11689	12669	12043	12076
616.5	11694	12683	12050	12084
617.5	11699	12697	12056	12091
618.5	11703	12711	12063	12099
619.5	11708	12727	12070	12106
620.5	11713	12742	12077	12114
621.5	11717	12758	12084	12121
622.5	11721	12774	12090	12129
623.5	11725	12790	12097	12136
624.5	11729	12807	12104	12144
625.5	11733	12824	12110	12151
626.5	11736	12841	12117	12159
627.5	11740	12859	12123	12166
628.5	11743	12877	12130	12174
629.5	11747	12895	12136	12181
630.5	11750	12914	12143	12188
631.5	11753	12933	12149	12196
632.5	11756	12951	12156	12203
633.5	11759	12971	12162	12211
634.5	11762	12990	12168	12218
635.5	11765	13009	12174	12226
636.5	11770	13025	12181	12233
637.5	11778	13035	12188	12241
638.5	11785	13046	12195	12248
639.5	11792	13057	12202	12256
640.5	11799	13069	12209	12263
641.5	11806	13081	12216	12270
642.5	11812	13093	12222	12278
643.5	11818	13106	12229	12285
644.5	11824	13119	12236	12293
645.5	11829	13132	12243	12300
646.5	11834	13146	12250	12308
647.5	11839	13159	12257	12315
648.5	11844	13173	12264	12323
649.5	11849	13188	12270	12330
650.5	11854	13202	12277	12338
651.5	11858	13217	12284	12345
652.5	11863	13232	12291	12352
653.5	11867	13247	12298	12360
654.5	11871	13262	12304	12367
655.5	11875	13279	12311	12375
656.5	11879	13295	12318	12382
657.5	11883	13311	12324	12390
658.5	11886	13328	12331	12397
659.5	11890	13345	12338	12405
660.5	11893	13362	12344	12412
661.5	11897	13379	12351	12419
662.5	11900	13396	12357	12427
663.5	11904	13413	12364	12434
664.5	11907	13431	12370	12442
665.5	11910	13449	12377	12449
666.5	11916	13464	12384	12457
667.5	11924	13474	12390	12464
668.5	11931	13486	12397	12472
669.5	11939	13498	12404	12479
670.5	11946	13510	12410	12487
671.5	11953	13522	12417	12494
672.5	11960	13535	12424	12502
673.5	11966	13548	12431	12509
674.5	11973	13560	12437	12517
675.5	11979	13574	12444	12524
676.5	11985	13587	12451	12531
677.5	11990	13601	12458	12539
678.5	11996	13615	12464	12546
679.5	12001	13629	12471	12554
680.5	12006	13643	12478	12561
681.5	12011	13658	12485	12569
682.5	12016	13673	12491	12576
683.5	12020	13688	12498	12584
684.5	12025	13703	12505	12591
685.5	12029	13719	12512	12599
686.5	12034	13734	12518	12606
687.5	12038	13750	12525	12614
688.5	12042	13767	12532	12621
689.5	12046	13783	12538	12629
690.5	12050	13800	12545	12636
691.5	12054	13816	12552	12644
692.5	12058	13832	12558	12651
693.5	12061	13849	12565	12659
694.5	12065	13866	12572	12666
695.5	12068	13883	12578	12674
696.5	12074	13897	12585	12681
697.5	12083	13908	12591	12688
698.5	12091	13920	12598	12696
699.5	12099	13932	12604	12703
700.5	12107	13944	12610	12711
701.5	12115	13956	12617	12718
702.5	12122	13968	12623	12726
703.5	12129	13982	12630	12733
704.5	12136	13995	12636	12741
705.5	12143	14008	12643	12748
706.5	12149	14021	12650	12756
707.5	12156	14035	12656	12763
708.5	12161	14049	12663	12771
709.5	12167	14063	12669	12778
710.5	12173	14077	12676	12785
711.5	12179	14090	12682	12793
712.5	12184	14104	12689	12800
713.5	12189	14120	12696	12808
714.5	12194	14135	12702	12815
715.5	12199	14150	12709	12823
716.5	12204	14165	12715	12830
717.5	12208	14181	12722	12838
718.5	12213	14197	12729	12845
719.5	12217	14212	12735	12853
720.5	12221	14229	12742	12860
721.5	12226	14245	12749	12868
722.5	12230	14261	12755	12875
723.5	12234	14278	12762	12882
724.5	12238	14294	12768	12890
725.5	12242	14310	12775	12897
726.5	12248	14325	12781	12905
727.5	12258	14335	12788	12912
728.5	12267	14346	12794	12920
729.5	12275	14358	12800	12927
730.5	12284	14369	12806	12935
731.5	12293	14382	12812	12942
732.5	12301	14394	12819	12950
733.5	12309	14405	12825	12957
734.5	12317	14417	12831	12965
735.5	12324	14430	12837	12972
736.5	12331	14442	12844	12980
737.5	12338	14455	12850	12987
738.5	12345	14468	12856	12995
739.5	12352	14481	12863	13002
740.5	12358	14494	12869	13010
741.5	12364	14507	12875	13017
742.5	12370	14521	12882	13025
743.5	12376	14535	12888	13032
744.5	12382	14549	12894	13040
745.5	12388	14563	12901	13047
746.5	12393	14577	12907	13055
747.5	12398	14592	12914	13062
748.5	12403	14606	12920	13070
749.5	12408	14622	12927	13077
750.5	12413	14637	12933	13085
751.5	12417	14652	12940	13092
752.5	12422	14668	12946	13100
753.5	12426	14683	12953	13107
754.5	12430	14699	12959	13114
755.5	12435	14714	12966	13122
756.5	12445	14731	12975	13133
757.5	12462	14747	12987	13146
758.5	12478	14763	12999	13160
759.5	12492	14780	13011	13174
760.5	12506	14798	13023	13188
761.5	12519	14816	13036	13201
762.5	12531	14834	13048	13215
763.5	12542	14854	13061	13229
764.5	12552	14873	13074	13243
765.5	12562	14893	13088	13256
766.5	12571	14914	13102	13270
767.5	12579	14934	13115	13284
768.5	12588	14955	13129	13298
769.5	12595	14977	13143	13311
