"","tax_name","ExrNTC_S49","LibNTC_S51","WP2-001_S1","WP2-002_S2","WP2-003_S3","WP2-004_S4","WP2-005_S5","WP2-006_S6","WP2-007_S7","WP2-008_S8","WP2-009_S9","WP2-010_S10","WP2-011_S11","WP2-012_S12","WP2-013_S13","WP2-014_S14","WP2-016_S16","WP2-017_S17","WP2-018_S18","WP2-019_S19","WP2-020_S20","WP2-021_S21","WP2-022_S22","WP2-023_S23","WP2-024_S24","WP2-025_S25","WP2-026_S26","WP2-027_S48","WP2-029_S29","WP2-030_S30","WP2-031_S31","WP2-032_S32","WP2-033_S33","WP2-034_S34","WP2-035_S35","WP2-036_S36","WP2-037_S37","WP2-038_S38","WP2-039_S39","WP2-040_S40","WP2-041_S41","WP2-042_S42","WP2-043_S43","WP2-044_S44","WP2-045_S45","WP2-046_S46"
"535","Stegostoma",0,0,52,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0
"536","Steromphala",0,0,269,274,677,958,1330,1196,2572,1680,3220,5889,7771,2244,7004,8509,1821,73,494,389,1218,10348,2225,1040,441,5013,5696,886,9991,4939,181,270,1236,2485,1949,2726,3879,2481,1024,1345,1568,5546,32179,16785,1039,0
"537","Sthenelais",0,0,0,0,0,0,55,0,0,0,91,79,85,0,0,90,0,0,0,0,0,0,0,0,0,0,67,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"538","Stomoxys",0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,63,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"539","Streptopelia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"540","Strigamia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"541","Strongylocentrotus",0,0,96,61,106,81,269,185,178,238,653,3445,1053,189,354,640,1711,0,56,74,288,1749,707,162,150,799,780,0,572,861,0,0,0,55,60,65,94,0,0,0,0,0,137,0,0,164
"542","Styela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0
"543","Stylophora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"544","Suillia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"545","Suncus",0,0,0,0,104,79,70,0,0,0,50,76,0,0,125,0,56,0,0,0,0,58,0,0,0,78,103,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,97,0,0,0
"546","Suricata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0
"547","Sus",1220,60,70,143,452,370,921,670,922,866,422,1808,2036,606,518,2667,1081,152,407,614,1019,359,1512,878,0,706,1218,0,624,795,56,0,645,640,650,542,948,885,612,352,956,191,553,1992,1546,527
"548","Sylvilagus",0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"549","Symphodus",0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"550","Synanthedon",0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,59,0,0,0,0,0,0,0,0,0,0,63,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"551","Syngnathus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"552","Tachysurus",0,0,0,0,67,56,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,61,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
"553","Takifugu",0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"554","Taurulus",0,0,64,0,109,104,172,183,179,253,393,507,1042,295,420,846,67,0,66,75,241,1030,4421,120,0,436,709,76,592,443,0,0,0,62,84,0,73,75,0,0,226,0,175,0,198,61
"555","Teleopsis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
