"","tax_name","ExrNTC_S49","WP2-001_S1","WP2-002_S2","WP2-003_S3","WP2-004_S4","WP2-005_S5","WP2-006_S6","WP2-007_S7","WP2-008_S8","WP2-009_S9","WP2-010_S10","WP2-011_S11","WP2-012_S12","WP2-013_S13","WP2-014_S14","WP2-016_S16","WP2-017_S17","WP2-018_S18","WP2-019_S19","WP2-020_S20","WP2-021_S21","WP2-022_S22","WP2-023_S23","WP2-024_S24","WP2-025_S25","WP2-026_S26","WP2-027_S48","WP2-029_S29","WP2-030_S30","WP2-031_S31","WP2-032_S32","WP2-033_S33","WP2-034_S34","WP2-035_S35","WP2-036_S36","WP2-037_S37","WP2-038_S38","WP2-039_S39","WP2-040_S40","WP2-041_S41","WP2-042_S42","WP2-043_S43","WP2-044_S44","WP2-045_S45","WP2-046_S46"
"52","Cannabis",219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Capsicum",NA,NA,NA,NA,NA,90,111,NA,56,NA,154,233,NA,112,NA,169,NA,NA,NA,104,71,63,67,NA,NA,99,NA,83,NA,NA,NA,51,NA,55,NA,NA,1111,NA,NA,146,88,NA,NA,184,NA
"54","Cardamine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,56,97,NA,NA,NA,NA,NA,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Carduus",NA,NA,NA,NA,NA,NA,NA,NA,NA,80,78,162,NA,56,NA,NA,NA,NA,NA,72,63,108,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Carex",NA,129,NA,138,NA,303,313,169,96,354,1047,723,391,765,77,67,NA,NA,147,NA,2900,136,80,59,370,704,NA,316,739,108,85,76,114,140,139,161,103,78,200,104,124,237,NA,86,55
"57","Carpinus",NA,NA,NA,NA,NA,NA,NA,110,NA,NA,NA,74,NA,NA,50,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,80,NA,NA,NA,NA,NA
"58","Carya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Catabrosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Cerastium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Ceratophyllum",NA,54,58,NA,NA,50,NA,NA,NA,187,NA,NA,NA,NA,NA,NA,59,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,113,NA,NA,NA,NA,NA
"62","Chamaedaphne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Chamaenerion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Chenopodium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,113,NA,98,NA,NA,NA,NA,NA,NA,63,51,70,NA,56,106,NA,148,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Chionographis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Chlamydomonas",NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,68,103,63,50,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,68,417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,62
"67","Chlorella",NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Chloroparvula",NA,NA,NA,74,NA,72,79,144,127,265,429,532,118,184,NA,NA,NA,NA,NA,123,134,297,91,NA,183,232,NA,82,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Chrysosplenium",NA,NA,50,NA,NA,NA,NA,NA,NA,NA,67,181,NA,59,NA,NA,NA,62,NA,53,62,58,54,NA,NA,63,NA,101,118,NA,NA,NA,55,62,NA,NA,NA,NA,NA,62,NA,NA,NA,53,NA
"70","Cirsium",NA,NA,NA,NA,NA,NA,NA,55,NA,NA,75,87,NA,140,NA,NA,NA,NA,NA,NA,141,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Climacium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA
"72","Cochlearia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Comarum",NA,NA,NA,113,NA,NA,72,135,170,10261,761,1206,2295,2475,NA,NA,NA,NA,NA,NA,1042,NA,NA,61,232,1853,100,73,356,NA,NA,NA,NA,NA,356,NA,61,NA,181,57,194,166,NA,NA,NA
"74","Coriaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Corylus",NA,NA,NA,NA,113,774,1680,14903,2434,798,2068,3172,2552,2107,868,NA,NA,NA,327,2113,5700,353,144,428,2022,4032,81,NA,NA,NA,58,128,639,767,1326,8255,4902,2207,4537,12311,180,342,NA,NA,NA
"76","Crambe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
